,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC
mESC_string_500,,0.0010621185262363,0.0290868849744639,0.0025334605936727,0.0001370435202831,0.0010621185262363,0.0001573512390373,,0.7834289612548793,0.9433931396880472,0.9587660434035308,0.4222642884680256,0.7834289612548793,0.439957863476459
mESC_string_tf1000,,0.0007601340679699,0.0104524075158062,0.0017709327017037,8.266464769706443e-05,0.0007601340679699,0.0001096569454474,,0.7681900182204859,0.94667402969398,0.9684143216226454,0.4205680421897456,0.7681900182204859,0.5499474983413144
mESC_string_tf500,,0.0010918420523373,0.0305251889769022,0.0018643067490561,0.0001251761437637,0.0010918420523373,0.000440635273297,,0.854949460266975,0.9617471748349476,0.9544129901370216,0.4027927368962138,0.854949460266975,0.5945716471495348
mHSC-L_nonspecific_chipseq_1000,,0.0002292706493204,0.0103887148862667,0.0020254745977794,9.187029191495916e-05,0.0002292706493204,9.618975896411649e-05,,0.6593693761071839,0.9751885573700478,0.8126495158216397,0.3716486726825957,0.6593693761071839,0.3742936590129158
mHSC-L_nonspecific_chipseq_500,,0.0001429631351064,0.0208210404948059,0.001435808988711,0.0001286625365757,0.0001429631351064,7.876578777778175e-05,,0.6033163544447848,0.9614629382413448,0.8653547694080915,0.5985774937628573,0.6033163544447848,0.4239036671481303
mHSC-L_nonspecific_chipseq_tf1000,,0.0011631230385461,0.0092306469492835,0.0021735261002172,0.0001516858564337,0.0011631230385461,0.0002124140208555,,0.8138278946964408,0.9529958472919302,0.8473738078969997,0.522438381912343,0.8138278946964408,0.6036656306773777
mHSC-L_nonspecific_chipseq_tf500,,0.0081295464623246,0.0071173714242436,0.0014619066999297,0.0003775436689885,0.0081295464623246,0.0002760001114569,,0.8044941081479431,0.9408158955958684,0.7996960410789945,0.6026772936412376,0.8044941081479431,0.5431949743575398
mHSC-L_specific_chipseq_1000,,0.0108742511224338,,0.0196786927099436,0.0010203949362867,0.0108742511224338,0.0017991635299834,,0.8160401879612849,,0.8294227833641328,0.3550148736681136,0.8160401879612849,0.5802231076936469
mHSC-L_specific_chipseq_500,,0.005443942935735,0.0876276264226041,0.0150734612493116,0.0008695349819554,0.005443942935735,0.0008439641694224,,0.7832416708404191,0.9921548051842785,0.8580750289099892,0.433293979336834,0.7832416708404191,0.3969884943957814
mHSC-L_specific_chipseq_tf1000,,0.0081230944620167,,0.013241684617515,0.0019927015097724,0.0081230944620167,0.0012754387530148,,0.7637743292493703,,0.7872204183910023,0.6044388431671841,0.7637743292493703,0.458452019097715
mHSC-L_specific_chipseq_tf500,,0.0163497578143966,,0.0162523495789151,0.0022158433416493,0.0163497578143966,0.0031322722485157,,0.8008482862466269,,0.842366298582667,0.4487514822529433,0.8008482862466269,0.5672035060220074
mHSC-L_string_500,,0.000253017602823,,0.0016418566526584,4.148975720758058e-05,0.000253017602823,4.65203032953364e-05,,0.6485811791692399,,0.981439801038918,0.3825302171140751,0.6485811791692399,0.4740576284010127
mHSC-L_string_tf1000,,0.0015079635864695,,0.0041459289524505,0.0001255009350541,0.0015079635864695,0.0001598342065293,,0.8335626199551718,,0.8809512071309558,0.6178635231124638,0.8335626199551718,0.6246695571478285
mHSC-L_string_tf500,,0.0017298404067304,,0.001675392636956,0.000264254311013,0.0017298404067304,0.0001294969642362,,0.8557463483191342,,0.8364153462038807,0.554218728836054,0.8557463483191342,0.4412750610056711
